Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_147.jpg;0;1;0;0.4609774;99.76425;85.73227;1.108924;56.99023;-0.0009112805
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_214.jpg;0;1;0;0.5180857;99.78215;85.75964;1.149397;56.94101;1.681205E-06
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_280.jpg;0;1;0;0.5713471;99.80167;85.7894;1.205443;56.84446;-0.0003779051
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_347.jpg;0;1;0;0.6271748;99.82972;85.83194;1.230653;56.86046;-0.001744875
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_413.jpg;0;1;0;0.678176;99.85225;85.86613;1.205219;56.90858;-0.001466841
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_479.jpg;0;1;0;0.7456772;99.87668;85.90329;1.188927;56.952;-0.001190577
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_546.jpg;0;1;0;0.7892332;99.91197;85.95702;1.199428;56.92633;-0.0007962117
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_613.jpg;0;1;0;0.8448359;99.94062;86.00065;1.218571;56.94521;-0.001272624
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_680.jpg;0;1;0;0.9175405;99.97107;86.04701;1.236935;56.92444;-0.0006694077
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_747.jpg;0;1;0;0.9679149;100.0139;86.11224;1.232391;56.91289;-0.0006996158
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_813.jpg;0;1;0;1.016382;100.0477;86.16365;1.212259;56.9454;-0.001597955
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_881.jpg;0;1;0;1.077615;100.0832;86.2177;1.218705;56.93407;-0.0009555622
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_24_947.jpg;0;1;0;1.123254;100.1328;86.29326;1.218456;56.96191;-0.0007084721
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_012.jpg;0;1;0;1.172192;100.1719;86.3529;1.225761;56.91459;-0.0006745822
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_080.jpg;0;1;0;1.230521;100.2126;86.4148;1.230713;56.88733;-0.0006117632
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_148.jpg;0;1;0;1.279583;100.2693;86.50101;1.235506;56.85468;-0.0006976418
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_210.jpg;0;1;0;1.327607;100.3137;86.56844;1.238889;56.83152;-0.0007628649
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_277.jpg;0;1;0;1.374848;100.3596;86.63819;1.241813;56.81254;-0.000816853
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_346.jpg;0;1;0;1.438754;100.4234;86.73487;1.247061;56.79424;-0.0009547184
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_413.jpg;0;1;0;1.485831;100.473;86.81008;1.24955;56.78183;-0.0009553598
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_480.jpg;0;1;0;1.547899;100.5243;86.88771;1.256435;56.76885;-0.0009845309
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_545.jpg;0;1;0;1.594499;100.5771;86.96757;1.258532;56.75846;-0.0009850388
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_614.jpg;0;1;0;1.639973;100.6499;87.07767;1.263473;56.7434;-0.001012662
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_679.jpg;0;1;0;1.70146;100.7063;87.16294;1.267988;56.73119;-0.001005458
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_747.jpg;0;1;0;1.747272;100.7839;87.28017;1.273146;56.71699;-0.001015708
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_813.jpg;0;1;0;1.793774;100.8439;87.37077;1.278017;56.70571;-0.001045039
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_879.jpg;0;1;0;1.853757;100.9054;87.46366;1.284266;56.69472;-0.001073116
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_25_947.jpg;0;1;0;1.899918;100.9898;87.59093;1.287661;56.68087;-0.00110701
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_014.jpg;0;1;0;1.945085;101.0549;87.6891;1.295194;56.66816;-0.001116701
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_079.jpg;0;1;0;1.989291;101.1214;87.78939;1.296454;56.65874;-0.00114024
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_145.jpg;0;1;0;2.049837;101.1895;87.89198;1.300775;56.64587;-0.001153265
